OSN	Ch	Tx	Rx	
1	20	147	143	
1	25	144	109	
1	24	149	117	
1	22	136	114	
3	26	143	139	
3	24	109	101	
3	23	117	126	
3	21	114	119	
4	22	109	101	
5	22	139	144	
5	23	101	121	
6	20	105	109	
6	26	119	112	
7	21	144	109	
9	25	109	101	
11	24	101	121	
12	25	112	117	
14	24	117	126	
17	23	126	121	
18	23	109	101	
19	22	121	126	
21	21	126	117	
23	25	117	146	
23	26	121	101	
25	22	101	109	
27	21	109	144	
28	25	101	121	
29	25	144	139	
31	24	139	143	
33	21	121	123	
34	20	121	123	
35	25	123	104	
37	23	126	121	
39	21	121	101	
41	25	101	102	
50	22	121	126	
52	21	126	117	
54	25	117	112	
56	24	112	119	
58	23	119	114	
60	20	114	135	

OSN: observed slot number
Ch: channel
TX: sender id
Rx: receiver id
